9.942627917920147107e-01 9.821298545940960745e-01 9.628480280832011351e-01 9.424370112522166831e-01 9.172650875112651203e-01 8.947010122041373359e-01 8.647043518259994732e-01 8.346668859255549355e-01 8.053268896700869206e-01 7.729335904831019510e-01 7.463638678490592815e-01 7.208368098435535831e-01 6.982492433611663385e-01 6.751970128920466996e-01 6.524137228596462723e-01 6.317052608380925305e-01 6.105745252322281047e-01 5.904440541739846005e-01 5.709004708825285990e-01 5.522266091463450266e-01 5.320502744901040026e-01 5.184156102268692168e-01 5.009700338599487601e-01 4.813595000535182411e-01 4.608669052042954628e-01 4.462863882677393090e-01 4.276740515636677786e-01 4.091518885812991946e-01 3.929240436519045310e-01 3.708387207277484832e-01 3.472477533504834124e-01 3.290798600142351149e-01 3.085694512006244006e-01 2.933783618885411615e-01 2.781732732381050899e-01 2.581944151645641505e-01 2.413856158877770719e-01 2.288393874486272239e-01 2.141189995580248806e-01 2.015530729852359204e-01 1.906474300611571415e-01 1.797133753320549199e-01 1.703281956318994927e-01 1.640474434685914029e-01 1.570834895268355957e-01 1.500552010838633599e-01 1.412762338086078207e-01
9.954765750500799149e-01 9.854030081399125507e-01 9.667063940137078371e-01 9.448648942697913666e-01 9.201880056802513863e-01 8.948666733712108412e-01 8.645383280414024041e-01 8.380554853551506200e-01 8.112985140589867861e-01 7.888568294065860798e-01 7.643210030232905350e-01 7.381381943979855587e-01 7.164943082927455187e-01 6.896623407517905591e-01 6.681890148135398722e-01 6.443957937424291682e-01 6.197596278680996829e-01 5.957519231020239614e-01 5.740544091629135037e-01 5.550834583205029871e-01 5.339968275327634517e-01 5.112873215094962953e-01 4.974712370684073459e-01 4.744618670282830797e-01 4.621731686923162830e-01 4.435956530902247508e-01 4.283126970282766788e-01 4.124628207212207021e-01 3.960912964319422414e-01 3.727907462218759682e-01 3.565063349741104393e-01 3.337844243829659607e-01 3.203631084129122120e-01 2.998245964069428671e-01 2.798264449124240882e-01 2.603937408770678474e-01 2.422542865028703141e-01 2.282073860801763499e-01 2.152529643869897369e-01 1.998087416021083473e-01 1.931521476199285214e-01 1.774607455937894651e-01 1.706543842000799727e-01 1.635556272389764032e-01 1.570317295678266278e-01 1.469352679551007568e-01 1.413083971689010621e-01
9.956599044322927972e-01 9.820745766286625988e-01 9.620002544821374402e-01 9.383516891328032017e-01 9.151973198876590665e-01 8.867760747376322028e-01 8.630100295437868052e-01 8.334302711458850821e-01 8.056890465593014028e-01 7.804194583179446809e-01 7.599099374980721189e-01 7.339394832277126302e-01 7.077910326354267534e-01 6.806285403917409216e-01 6.539387971732750771e-01 6.220091148687461047e-01 6.004019251590080319e-01 5.748172006031118109e-01 5.528402283355586810e-01 5.295865257228544731e-01 5.094933815938489374e-01 4.867837204829978393e-01 4.700482721446206935e-01 4.492711489033653360e-01 4.305961551609696625e-01 4.180488751002685022e-01 4.050696610704900835e-01 3.900159808124701866e-01 3.739830111706656801e-01 3.536705726130630056e-01 3.374820324833811558e-01 3.185956172561852928e-01 3.021578511704067216e-01 2.834899557454981789e-01 2.682886092112041765e-01 2.523671246522600220e-01 2.375460657016933985e-01 2.236198468857797383e-01 2.087704175487228031e-01 1.963154821984544052e-01 1.871548813908611997e-01 1.764397506375058600e-01 1.695456695561177174e-01 1.597212670795523648e-01 1.530412932955932115e-01 1.457310049542464014e-01 1.388347926752004358e-01
9.950319090744708106e-01 9.845926731124802211e-01 9.685479890265114022e-01 9.520952717010457977e-01 9.298658466531701805e-01 9.043509753658924843e-01 8.737352367052588775e-01 8.425191030357964683e-01 8.080821727781657415e-01 7.800170021699661671e-01 7.504084376982155247e-01 7.276426435794370873e-01 7.027567775959696617e-01 6.803869924318580731e-01 6.586203062292735888e-01 6.374158673116444573e-01 6.156322768749442620e-01 5.981685743725210225e-01 5.746377871294725548e-01 5.502362460224600182e-01 5.306258358423227017e-01 5.132752632780391844e-01 4.940731897375583714e-01 4.714385242702514023e-01 4.571691015767501143e-01 4.354355593397118973e-01 4.173906894145995028e-01 3.997014276872729033e-01 3.802385558620975381e-01 3.643905314057686584e-01 3.441891698526600707e-01 3.266109795307522434e-01 3.088503709146300236e-01 2.902318366142179196e-01 2.712603540704295324e-01 2.534021714530878544e-01 2.428197205974691741e-01 2.231661687940609817e-01 2.145218634439102490e-01 2.006809128202930725e-01 1.909533015701951608e-01 1.773591083827974757e-01 1.697545624475348125e-01 1.630952851889437005e-01 1.550308003416074054e-01 1.488999545963539395e-01 1.420641417048429112e-01
9.960190290220306553e-01 9.862509483297753343e-01 9.716367937942695931e-01 9.492288989777719621e-01 9.258478240919598701e-01 8.993156328971151359e-01 8.743966792808071098e-01 8.492991747115421486e-01 8.258538603643535980e-01 7.983974470528950595e-01 7.737568067727466081e-01 7.457223185126160558e-01 7.148864515924304719e-01 6.891118886564867596e-01 6.605171516539918297e-01 6.366191151451724428e-01 6.152794449698636425e-01 5.923267766540123436e-01 5.727945875499353967e-01 5.554439318224837496e-01 5.353948275642179677e-01 5.204371018771876134e-01 5.028533285262656305e-01 4.844297665721972179e-01 4.652393790951736552e-01 4.487333888149879213e-01 4.277658920500516104e-01 4.089309546547801877e-01 3.857753812133832283e-01 3.675248161510814016e-01 3.490030438697993564e-01 3.302646586713751109e-01 3.085970014357986013e-01 2.898761668067372788e-01 2.728535815806373277e-01 2.553357973070643494e-01 2.416321517925117124e-01 2.235510504164829604e-01 2.154861651571583214e-01 2.003974125017859431e-01 1.931260010213444178e-01 1.800051085165438602e-01 1.705114395282145423e-01 1.599311793676354843e-01 1.555203829052163589e-01 1.479430954232258399e-01 1.399860854519696385e-01
9.966827781593845526e-01 9.856138971706047691e-01 9.683374618359590347e-01 9.510220400189250967e-01 9.318895793564520025e-01 9.085286204082220207e-01 8.868122225763865885e-01 8.601785414875336988e-01 8.331669223491978693e-01 8.049065664975989520e-01 7.735772461811561973e-01 7.376258460738500666e-01 7.096378226742435791e-01 6.747641897114972087e-01 6.486546435583974146e-01 6.261026798963572615e-01 5.997714039348261972e-01 5.785352080939196728e-01 5.562830473881825721e-01 5.363034969244486749e-01 5.194060039537722329e-01 4.971439056202650586e-01 4.841488423398659924e-01 4.625881906440250657e-01 4.475370072894271911e-01 4.321056493165271184e-01 4.144856521135754646e-01 3.967060635926076273e-01 3.792080555155624699e-01 3.588425611489127198e-01 3.397929272767121200e-01 3.228179515234586017e-01 3.063525184908962862e-01 2.860660386489914386e-01 2.684701073316778097e-01 2.549944820389437039e-01 2.327571456800509309e-01 2.216656815824298576e-01 2.086242873434610290e-01 1.976269652613032168e-01 1.878782684014213278e-01 1.755449202811588671e-01 1.693340744742112269e-01 1.579536833887897618e-01 1.528346123908278786e-01 1.460241179755912555e-01 1.391436194675099991e-01
9.965900054311945810e-01 9.870093856918474851e-01 9.706675681775105424e-01 9.522847754319103686e-01 9.336887174969050740e-01 9.094350902658274727e-01 8.873369352856547154e-01 8.586350238819727698e-01 8.317195470433068616e-01 8.028013711056770640e-01 7.736998381045399054e-01 7.429382723471288363e-01 7.210132827687870671e-01 6.881945723737277198e-01 6.615734301885671798e-01 6.333016272699637517e-01 6.083528299804094042e-01 5.889089339510096277e-01 5.657988287375843584e-01 5.405589893860586193e-01 5.222819930881462680e-01 4.989070254562585349e-01 4.795867666702346988e-01 4.576634356104231083e-01 4.367323130178521473e-01 4.180539033195661558e-01 4.003714957233479033e-01 3.811892186203459931e-01 3.632949795692570483e-01 3.475803242507726765e-01 3.315470147745480656e-01 3.152755542554236401e-01 2.964904376884664461e-01 2.792831354963853929e-01 2.653928804682091358e-01 2.470409807440643590e-01 2.369119266066833374e-01 2.227997436093843986e-01 2.108125570594029385e-01 1.961037251414443905e-01 1.856983151287180389e-01 1.765133209832925321e-01 1.710200992795239960e-01 1.589425340050354962e-01 1.503184997543721146e-01 1.449841658620641405e-01 1.378204450142924142e-01
9.955233932011757769e-01 9.846819732624798593e-01 9.704228579177789360e-01 9.509783440956245393e-01 9.294447812671273734e-01 9.022600358008873167e-01 8.720050038909381573e-01 8.380386664107315475e-01 8.059021431648635270e-01 7.700478320636127139e-01 7.359409274712404025e-01 7.071056611198082154e-01 6.831869676627991828e-01 6.594834231895417842e-01 6.341680818478063753e-01 6.131147690342374501e-01 5.869733122258600222e-01 5.712046803578679777e-01 5.517648327837283428e-01 5.337507372287504381e-01 5.177945450663565818e-01 4.980008798338464437e-01 4.819198764003668201e-01 4.650186537241796647e-01 4.498057571492502515e-01 4.345221596291753974e-01 4.174100898630891954e-01 3.992826495232780770e-01 3.852243609816085601e-01 3.606756674914333161e-01 3.430999185958475417e-01 3.256592414507255007e-01 3.083198050697285031e-01 2.912351384804139909e-01 2.705899501607668123e-01 2.554549160185419776e-01 2.404509994242435278e-01 2.293048751574579269e-01 2.100379034151815816e-01 2.004433706826591610e-01 1.877273910141539492e-01 1.777714917283251539e-01 1.714526539145808381e-01 1.604476680802379152e-01 1.539907402086297117e-01 1.465699850651873970e-01 1.415329539664595959e-01
9.948622988982347426e-01 9.815154872535784003e-01 9.688202559442410378e-01 9.511956528912005604e-01 9.298546582022156892e-01 9.064771609278905462e-01 8.807116401805079597e-01 8.508718572202571551e-01 8.189577294238220562e-01 7.871027909670335054e-01 7.553746540602537252e-01 7.265502535821066754e-01 6.980822244559407030e-01 6.644255433733682326e-01 6.422312194813275532e-01 6.134827496761474652e-01 5.919032567058759575e-01 5.714005233273101725e-01 5.478614178267695589e-01 5.327644345090762901e-01 5.108995228186131721e-01 4.922519645464331628e-01 4.773517890962459820e-01 4.603170400980839405e-01 4.404827436882292613e-01 4.230568395659053960e-01 4.076910900997156584e-01 3.908120531213090110e-01 3.710809874373711126e-01 3.536984265491806556e-01 3.337756667442239866e-01 3.144591995449986244e-01 3.021995654927541741e-01 2.791416350953652703e-01 2.630941018782868013e-01 2.503220200448172950e-01 2.380131654711112044e-01 2.228321857445723642e-01 2.069297875821484445e-01 1.950504930440922491e-01 1.872912445895229261e-01 1.778655903563216567e-01 1.694662960567455412e-01 1.594710500459826374e-01 1.528014265391276494e-01 1.457667649247410824e-01 1.386547271770194600e-01
9.958042038059230494e-01 9.872874185766886690e-01 9.738281493116658361e-01 9.566430808549120091e-01 9.282217881182671659e-01 8.940059887231356361e-01 8.598743597183854392e-01 8.288535077729123346e-01 8.016470742563363006e-01 7.746215281214097192e-01 7.502988837578777881e-01 7.234240866954066984e-01 7.008722572076305779e-01 6.769767432234964355e-01 6.517555836587786144e-01 6.245092512239115434e-01 5.997464437426940354e-01 5.736648717775827411e-01 5.505214896696490889e-01 5.324160977115660609e-01 5.135905765624572128e-01 4.893895134551493054e-01 4.741839239667393624e-01 4.539738743846072899e-01 4.370635918436909795e-01 4.232078827783682939e-01 4.066051686940436727e-01 3.891035615672999159e-01 3.746033337920398609e-01 3.566289743094522291e-01 3.365109163064092246e-01 3.220136846698624655e-01 3.029782205741512469e-01 2.850703998678467688e-01 2.701095316693353787e-01 2.559155399756752325e-01 2.383532217559165001e-01 2.248235772794268950e-01 2.128385133256910366e-01 2.022998814537179391e-01 1.894847403502167293e-01 1.805753528761730176e-01 1.709251704851993681e-01 1.615411938737811859e-01 1.547560695848769485e-01 1.491525254759361874e-01 1.415928683802401555e-01
